 # xp yp zp bx by bz
 0.27586E-01 -0.34483E+00  0.00000E+00 -0.15215E-03  0.21792E-03  0.39209E-02
 0.41379E-01 -0.34483E+00  0.00000E+00 -0.15111E-03  0.23243E-03  0.41906E-02
 0.55172E-01 -0.34483E+00  0.00000E+00 -0.14900E-03  0.24735E-03  0.44693E-02
 0.68966E-01 -0.34483E+00  0.00000E+00 -0.14571E-03  0.26255E-03  0.47549E-02
 0.82759E-01 -0.34483E+00  0.00000E+00 -0.14114E-03  0.27788E-03  0.50449E-02
 0.96552E-01 -0.34483E+00  0.00000E+00 -0.13520E-03  0.29315E-03  0.53362E-02
 0.11034E+00 -0.34483E+00  0.00000E+00 -0.12782E-03  0.30818E-03  0.56250E-02
 0.12414E+00 -0.34483E+00  0.00000E+00 -0.11894E-03  0.32274E-03  0.59075E-02
 0.13793E+00 -0.34483E+00  0.00000E+00 -0.10856E-03  0.33659E-03  0.61792E-02
 0.15172E+00 -0.34483E+00  0.00000E+00 -0.96680E-04  0.34949E-03  0.64352E-02
 0.16552E+00 -0.34483E+00  0.00000E+00 -0.83351E-04  0.36116E-03  0.66706E-02
 0.17931E+00 -0.34483E+00  0.00000E+00 -0.68661E-04  0.37137E-03  0.68802E-02
 0.19310E+00 -0.34483E+00  0.00000E+00 -0.52741E-04  0.37985E-03  0.70587E-02
 0.20690E+00 -0.34483E+00  0.00000E+00 -0.35765E-04  0.38637E-03  0.72013E-02
 0.22069E+00 -0.34483E+00  0.00000E+00 -0.17954E-04  0.39071E-03  0.73031E-02
 0.23448E+00 -0.34483E+00  0.00000E+00  0.42765E-06  0.39272E-03  0.73603E-02
 0.24828E+00 -0.34483E+00  0.00000E+00  0.19079E-04  0.39227E-03  0.73698E-02
 0.26207E+00 -0.34483E+00  0.00000E+00  0.37666E-04  0.38930E-03  0.73298E-02
 0.27586E+00 -0.34483E+00  0.00000E+00  0.55840E-04  0.38382E-03  0.72400E-02
 0.28966E+00 -0.34483E+00  0.00000E+00  0.73251E-04  0.37593E-03  0.71017E-02
 0.30345E+00 -0.34483E+00  0.00000E+00  0.89570E-04  0.36579E-03  0.69180E-02
 0.31724E+00 -0.34483E+00  0.00000E+00  0.10451E-03  0.35367E-03  0.66936E-02
 0.33103E+00 -0.34483E+00  0.00000E+00  0.11783E-03  0.33985E-03  0.64345E-02
